Customer_ID,Age (years),Gender,Income ($),Geographic Location
1,25,Male,124127,City B
2,19,Female,113670,City C
3,54,Male,97608,City B
4,61,Female,25369,City B
5,43,Female,87570,City B
6,65,Male,82735,City B
7,66,Female,83385,City C
8,31,Female,39596,City B
9,32,Male,144852,City B
10,43,Male,32258,City B
11,68,Female,30080,City A
12,43,Female,91868,City A
13,40,Male,49546,City C
14,57,Female,89535,City C
15,42,Female,82202,City A
16,68,Female,136445,City C
17,25,Male,28625,City C
18,67,Female,128510,City C
19,28,Male,63852,City C
20,49,Male,106702,City C
21,47,Female,125828,City A
22,44,Female,102847,City A
23,41,Male,147202,City C
24,27,Female,125504,City C
25,63,Female,49030,City C
26,37,Female,125792,City A
27,37,Male,88479,City B
28,18,Female,129986,City B
29,19,Male,22788,City A
30,56,Female,73899,City A
31,24,Female,84000,City C
32,68,Male,141482,City C
33,63,Female,80592,City C
34,69,Female,91022,City A
35,66,Female,80611,City C
36,23,Male,100085,City A
37,25,Female,83233,City B
38,28,Female,57308,City C
39,33,Female,106469,City C
40,69,Male,78818,City B
41,27,Female,140017,City A
42,60,Female,113320,City A
43,33,Female,26511,City A
44,66,Female,59310,City A
45,44,Male,40379,City B
46,40,Female,142239,City C
47,51,Male,135876,City C
48,64,Male,30331,City C
49,36,Male,82549,City A
50,18,Male,75122,City A
51,49,Female,81516,City C
52,35,Male,142937,City A
53,65,Female,24122,City B
54,39,Female,22660,City B
55,62,Female,63523,City A
56,30,Male,54507,City A
57,53,Male,74042,City B
58,20,Female,36200,City B
59,22,Female,27352,City A
60,41,Female,145894,City C
61,58,Male,148156,City C
62,50,Female,24885,City B
63,36,Male,64520,City A
64,51,Female,44074,City A
65,67,Female,21976,City C
66,52,Male,46906,City C
67,53,Female,63859,City C
68,53,Female,77634,City C
69,44,Female,148423,City B
70,38,Female,93158,City B
71,59,Female,105434,City B
72,35,Female,65146,City C
73,40,Female,29388,City A
74,60,Female,35770,City A
75,51,Male,138437,City B
76,30,Male,71834,City A
77,63,Male,133782,City A
78,51,Female,38425,City A
79,19,Female,125944,City C
80,45,Male,130916,City A
81,64,Male,113879,City A
82,18,Female,84281,City A
83,33,Female,98217,City B
84,42,Female,28516,City A
85,43,Male,38952,City A
86,46,Female,117142,City C
87,25,Male,111798,City B
88,53,Male,60483,City C
89,30,Male,47298,City A
90,50,Female,64636,City C
91,30,Female,73961,City A
92,30,Female,132443,City C
93,48,Female,149143,City C
94,43,Female,123426,City A
95,44,Male,108762,City B
96,44,Female,113075,City A
97,50,Female,37879,City B
98,61,Male,59823,City C
99,22,Male,119757,City C
100,31,Female,39858,City C
101,67,Female,92051,City A
102,31,Female,33982,City B
103,40,Male,32771,City A
104,18,Male,85469,City A
105,50,Male,66996,City C
106,53,Male,44993,City A
107,62,Female,115063,City A
108,51,Female,122564,City C
109,27,Female,130643,City A
110,25,Male,50278,City A
111,55,Female,68096,City A
112,23,Female,143312,City A
113,42,Female,121713,City B
114,58,Female,52832,City A
115,56,Female,122337,City C
116,20,Female,45351,City A
117,37,Female,105067,City B
118,43,Female,73421,City C
119,44,Female,99677,City B
120,56,Male,57153,City C
121,59,Female,68098,City C
122,21,Male,42583,City C
123,40,Female,30996,City A
124,40,Male,99610,City A
125,52,Female,95801,City C
126,61,Male,149426,City C
127,28,Male,75786,City A
128,18,Female,119642,City C
129,52,Male,97057,City C
130,29,Female,41380,City C
131,25,Female,143285,City C
132,32,Female,56830,City A
133,29,Male,97290,City A
134,58,Female,87963,City B
135,59,Male,35360,City A
136,58,Female,115756,City A
137,19,Female,48213,City C
138,64,Female,148026,City B
139,37,Male,102967,City B
140,67,Male,33495,City B
141,31,Female,38543,City A
142,60,Male,48213,City C
143,25,Female,57420,City A
144,28,Female,25536,City A
145,58,Male,105426,City C
146,51,Female,72580,City B
147,34,Female,75076,City B
148,27,Female,141604,City C
149,28,Female,57380,City C
150,67,Male,58650,City B
151,53,Male,20700,City B
152,61,Male,141319,City B
153,29,Male,23803,City C
154,40,Female,49898,City C
155,33,Male,46717,City C
156,36,Male,117257,City A
157,43,Male,48678,City A
158,54,Male,119933,City C
159,18,Male,78908,City B
160,54,Male,108345,City A
161,63,Male,46139,City B
162,39,Female,82166,City C
163,64,Female,75627,City A
164,44,Male,41594,City B
165,52,Female,22208,City A
166,25,Female,115923,City B
167,55,Female,54419,City C
168,24,Female,79284,City A
169,62,Female,125632,City B
170,39,Male,80337,City B
171,39,Male,143896,City A
172,37,Male,101323,City B
173,58,Female,137850,City A
174,50,Female,45453,City A
175,40,Female,136187,City C
176,63,Male,35067,City C
177,60,Male,60543,City B
178,51,Male,118599,City B
179,26,Male,107606,City C
180,66,Female,139401,City C
181,43,Male,116241,City C
182,25,Male,49105,City B
183,29,Male,85327,City C
184,64,Female,97015,City B
185,30,Female,114008,City B
186,20,Female,70701,City A
187,50,Male,85500,City B
188,52,Female,114049,City A
189,66,Female,53377,City C
190,38,Female,106341,City A
191,21,Male,143943,City C
192,64,Female,90444,City A
193,54,Male,27591,City A
194,37,Male,140582,City A
195,46,Male,52173,City A
196,33,Male,80373,City A
197,39,Male,22034,City A
198,27,Male,76803,City B
199,58,Female,142849,City A
200,48,Male,73549,City A
201,62,Female,90003,City A
202,37,Male,47478,City B
203,55,Male,52221,City C
204,19,Male,33847,City A
205,26,Male,118872,City B
206,36,Male,34753,City A
207,54,Male,64149,City C
208,19,Female,78351,City B
209,47,Female,44420,City B
210,56,Male,27790,City A
211,69,Male,75681,City A
212,27,Male,112487,City A
213,30,Female,90677,City C
214,19,Male,92413,City C
215,65,Female,91645,City A
216,63,Male,33466,City A
217,38,Male,68817,City A
218,67,Male,81561,City C
219,62,Female,122141,City A
220,25,Male,136024,City C
221,30,Male,57782,City C
222,24,Female,57756,City A
223,27,Male,79684,City B
224,56,Male,81002,City C
225,52,Male,148011,City B
226,54,Female,119095,City B
227,39,Male,141847,City C
228,25,Male,59684,City C
229,55,Female,57815,City B
230,44,Male,62583,City C
231,61,Male,43640,City C
232,46,Male,118944,City A
233,34,Male,53273,City B
234,36,Male,118032,City C
235,28,Female,50196,City B
236,51,Female,66223,City C
237,34,Male,111387,City C
238,67,Female,40014,City A
239,25,Male,84389,City A
240,27,Female,127043,City B
241,62,Male,30065,City A
242,19,Female,63727,City A
243,63,Female,115734,City C
244,52,Male,24205,City B
245,55,Male,56826,City C
246,34,Female,92386,City B
247,61,Female,65477,City A
248,67,Female,60695,City C
249,36,Male,92990,City C
250,47,Male,144907,City B
251,64,Male,142167,City A
252,23,Male,98163,City C
253,64,Female,126183,City C
254,62,Female,123551,City C
255,43,Female,120351,City C
256,43,Male,23176,City A
257,50,Male,52685,City A
258,42,Male,139222,City B
259,31,Male,39542,City B
260,60,Female,95336,City C
261,41,Female,117288,City C
262,25,Female,72847,City B
263,66,Male,47260,City B
264,54,Male,88268,City A
265,52,Male,74887,City A
266,42,Male,147230,City B
267,43,Female,57437,City B
268,24,Male,138772,City B
269,32,Male,60029,City C
270,50,Male,52711,City B
271,63,Male,125615,City B
272,68,Male,82391,City C
273,18,Female,25748,City A
274,20,Male,78598,City C
275,19,Male,23988,City C
276,39,Female,90422,City B
277,37,Male,63040,City C
278,29,Male,89219,City C
279,67,Male,120822,City A
280,44,Male,51232,City B
281,53,Male,134265,City C
282,31,Male,147827,City C
283,32,Female,65290,City C
284,64,Female,76170,City B
285,63,Male,62249,City C
286,62,Female,30431,City C
287,67,Male,68335,City B
288,44,Male,39890,City A
289,52,Male,108498,City A
290,39,Female,89630,City A
291,58,Female,60950,City B
292,54,Male,59951,City A
293,39,Female,94051,City A
294,28,Female,62070,City C
295,19,Male,39591,City C
296,65,Female,67131,City C
297,22,Female,57091,City A
298,39,Female,122820,City A
299,25,Male,52792,City B
300,26,Female,64472,City B
301,64,Female,25825,City B
302,36,Male,91125,City A
303,39,Female,100470,City B
304,50,Female,43477,City B
305,18,Female,123099,City C
306,23,Male,27774,City A
307,49,Male,124658,City C
308,61,Male,147367,City C
309,62,Female,65705,City A
310,68,Male,70511,City A
311,31,Male,96326,City C
312,51,Male,148943,City A
313,22,Male,61832,City C
314,35,Female,60202,City A
315,38,Male,120331,City C
316,36,Male,41106,City B
317,48,Male,109737,City B
318,31,Female,110536,City B
319,25,Female,41016,City C
320,29,Female,55695,City B
321,44,Male,83675,City B
322,35,Male,41154,City B
323,23,Female,43530,City B
324,67,Male,115648,City A
325,24,Female,94335,City C
326,64,Female,35499,City C
327,19,Male,125050,City C
328,31,Male,114212,City B
329,31,Male,131926,City C
330,66,Male,95853,City A
331,32,Male,96256,City A
332,34,Female,78615,City A
333,29,Male,148058,City C
334,66,Male,114772,City C
335,49,Male,134101,City B
336,31,Male,106580,City B
337,67,Male,86605,City A
338,47,Female,26933,City C
339,30,Male,135740,City B
340,38,Female,27417,City C
341,41,Male,27141,City B
342,61,Female,87976,City A
343,61,Male,85363,City A
344,32,Female,132595,City C
345,42,Male,21979,City B
346,21,Male,43937,City B
347,41,Female,63648,City B
348,43,Male,146467,City B
349,28,Male,107475,City C
350,43,Male,126750,City A
351,69,Male,24937,City C
352,23,Male,99146,City B
353,54,Male,66905,City B
354,35,Male,76272,City C
355,30,Male,52259,City A
356,33,Male,76533,City B
357,68,Male,129080,City A
358,59,Male,88429,City A
359,40,Male,36118,City B
360,32,Male,26642,City B
361,39,Male,63679,City C
362,35,Male,81819,City A
363,54,Male,69259,City A
364,29,Female,38237,City C
365,66,Male,48635,City B
366,25,Female,86844,City C
367,55,Male,109347,City A
368,60,Female,52285,City B
369,18,Male,147156,City B
370,67,Female,105425,City B
371,59,Male,27524,City C
372,67,Male,33874,City C
373,57,Male,75650,City C
374,44,Male,117766,City B
375,19,Female,94930,City C
376,28,Male,117978,City B
377,21,Male,84914,City A
378,51,Female,80592,City B
379,68,Female,76187,City C
380,69,Female,148755,City C
381,65,Female,52697,City B
382,68,Male,114410,City C
383,38,Male,128176,City B
384,28,Male,86843,City A
385,27,Female,104858,City A
386,50,Male,125448,City A
387,23,Female,80089,City C
388,67,Male,146152,City C
389,31,Male,27103,City C
390,39,Male,88151,City B
391,33,Female,144724,City A
392,44,Male,64257,City C
393,60,Male,126512,City C
394,31,Male,71357,City C
395,60,Male,50008,City A
396,37,Male,101173,City B
397,41,Male,29457,City B
398,66,Male,112953,City A
399,27,Female,115397,City C
400,52,Male,26704,City B
401,41,Male,144947,City B
402,36,Male,43584,City C
403,55,Male,120445,City C
404,62,Female,55905,City C
405,61,Male,46126,City A
406,23,Male,144936,City C
407,64,Female,41236,City C
408,39,Male,44350,City A
409,54,Female,28907,City A
410,62,Male,32116,City B
411,53,Male,141593,City B
412,37,Male,145719,City C
413,33,Female,34681,City B
414,54,Female,54141,City C
415,64,Male,103223,City B
416,28,Male,125097,City A
417,62,Female,128720,City B
418,40,Male,68940,City A
419,37,Male,103110,City A
420,40,Male,28225,City B
421,68,Male,47699,City C
422,30,Female,115088,City A
423,41,Female,121440,City A
424,59,Male,102356,City A
425,46,Female,46333,City B
426,41,Male,20401,City C
427,24,Male,81110,City B
428,30,Female,122821,City B
429,25,Male,111375,City B
430,43,Male,89742,City A
431,41,Female,109832,City B
432,59,Female,45612,City A
433,67,Male,138008,City B
434,22,Male,93330,City A
435,67,Male,64729,City A
436,58,Male,125693,City A
437,36,Male,114642,City A
438,23,Male,106969,City A
439,37,Male,80726,City C
440,26,Female,113592,City A
441,50,Male,61766,City A
442,56,Male,145405,City C
443,21,Male,79620,City C
444,47,Male,102716,City C
445,52,Male,148534,City B
446,53,Male,137365,City B
447,39,Male,110793,City A
448,28,Male,30763,City A
449,41,Male,110208,City A
450,19,Male,22194,City B
451,58,Male,42421,City C
452,59,Male,65213,City A
453,32,Male,135409,City C
454,69,Male,53661,City C
455,22,Female,136779,City A
456,29,Male,95985,City A
457,35,Male,144772,City B
458,36,Female,98816,City A
459,52,Male,116750,City C
460,61,Male,51972,City A
461,22,Male,149199,City C
462,49,Female,91081,City C
463,41,Male,72205,City C
464,18,Male,111848,City B
465,66,Male,59401,City C
466,22,Male,46089,City A
467,56,Female,65489,City A
468,40,Male,102729,City A
469,29,Female,23778,City C
470,47,Male,33590,City B
471,54,Male,25265,City B
472,38,Male,141138,City B
473,64,Female,95529,City B
474,28,Male,116034,City B
475,56,Male,21681,City B
476,27,Female,109686,City B
477,62,Male,95506,City A
478,38,Female,20288,City B
479,29,Male,61789,City C
480,23,Male,79868,City A
481,60,Female,78583,City B
482,24,Male,128727,City C
483,69,Male,84540,City A
484,33,Male,37034,City B
485,38,Male,93165,City A
486,37,Male,35980,City A
487,30,Male,107823,City C
488,32,Male,140171,City B
489,25,Female,98100,City C
490,32,Female,145670,City C
491,37,Female,56336,City B
492,44,Male,141551,City C
493,23,Male,102080,City A
494,27,Male,137202,City A
495,32,Male,28385,City B
496,30,Male,57965,City A
497,19,Male,99491,City A
498,46,Female,137736,City C
499,33,Male,123723,City C
500,18,Male,21344,City C
501,33,Female,128338,City A
502,22,Female,117503,City C
503,54,Male,116623,City C
504,48,Male,79320,City A
505,37,Male,33283,City B
506,53,Male,27906,City A
507,56,Female,22368,City A
508,30,Male,133320,City C
509,24,Male,54680,City C
510,32,Female,80648,City C
511,64,Male,93859,City A
512,63,Male,84932,City A
513,49,Male,66045,City B
514,58,Male,112784,City B
515,35,Male,22290,City C
516,26,Male,63623,City C
517,59,Male,85208,City C
518,30,Male,110774,City B
519,40,Male,44798,City B
520,58,Female,132318,City A
521,36,Female,112828,City B
522,46,Female,77940,City A
523,68,Male,126655,City A
524,69,Male,127206,City A
525,50,Female,71535,City A
526,52,Male,31211,City B
527,32,Female,78080,City B
528,68,Male,147994,City A
529,18,Male,139077,City A
530,36,Male,38017,City B
531,54,Male,89979,City B
532,45,Male,76891,City A
533,42,Male,94645,City B
534,50,Male,52941,City C
535,68,Male,28574,City C
536,29,Female,127641,City A
537,53,Male,145729,City A
538,41,Male,51901,City C
539,25,Male,87987,City B
540,60,Male,89806,City A
541,47,Female,25964,City B
542,19,Male,77298,City A
543,67,Male,25669,City B
544,35,Male,79105,City C
545,65,Male,80550,City A
546,21,Female,132112,City B
547,42,Female,43289,City C
548,44,Male,73525,City C
549,62,Female,126065,City C
550,64,Male,136382,City C
551,46,Female,79336,City C
552,49,Male,107092,City C
553,44,Male,56666,City C
554,44,Male,72963,City C
555,35,Male,84742,City C
556,40,Male,105335,City A
557,50,Male,86664,City B
558,34,Male,62774,City C
559,62,Female,25530,City A
560,23,Female,22176,City C
561,28,Male,129613,City C
562,49,Male,28392,City C
563,19,Female,64378,City B
564,49,Male,101234,City C
565,19,Female,68246,City C
566,24,Male,24117,City C
567,54,Female,101209,City B
568,24,Male,94936,City A
569,22,Male,25373,City C
570,21,Male,89111,City C
571,45,Male,137925,City B
572,29,Male,103334,City B
573,51,Male,91301,City C
574,23,Male,33865,City B
575,26,Female,109199,City B
576,37,Female,111921,City C
577,45,Male,120101,City A
578,32,Female,37035,City C
579,52,Male,66019,City B
580,66,Female,147812,City A
581,50,Male,28652,City A
582,69,Male,70628,City C
583,54,Male,22152,City B
584,35,Male,93471,City A
585,66,Male,40834,City C
586,52,Male,75953,City C
587,39,Male,116417,City B
588,49,Male,70670,City B
589,18,Male,73661,City A
590,23,Male,70799,City B
591,40,Female,37089,City B
592,60,Male,40090,City C
593,39,Male,104835,City C
594,45,Female,122793,City B
595,24,Female,102976,City C
596,18,Female,99254,City A
597,42,Male,27296,City C
598,20,Male,48291,City A
599,32,Male,126993,City B
600,69,Female,30117,City B
601,25,Male,66567,City A
602,33,Male,96578,City A
603,23,Male,38182,City B
604,58,Male,51808,City C
605,47,Male,35743,City C
606,26,Male,103658,City C
607,26,Female,123524,City C
608,26,Male,122778,City C
609,65,Male,75793,City A
610,31,Male,54381,City C
611,40,Male,120063,City B
612,52,Male,110611,City A
613,37,Male,63279,City B
614,25,Male,24277,City A
615,18,Male,60842,City A
616,49,Male,100304,City C
617,46,Male,95128,City A
618,40,Male,85272,City A
619,69,Female,47444,City B
620,52,Male,85616,City A
621,58,Male,62011,City C
622,40,Male,25075,City B
623,39,Female,88011,City A
624,50,Male,85796,City C
625,68,Male,129790,City B
626,67,Male,57082,City B
627,68,Male,144326,City A
628,55,Female,143661,City B
629,67,Female,104393,City A
630,30,Male,89780,City C
631,46,Male,131764,City A
632,54,Male,101186,City C
633,28,Male,65997,City B
634,25,Male,62064,City A
635,66,Male,147865,City A
636,57,Female,47083,City B
637,42,Male,83680,City A
638,33,Female,65135,City B
639,38,Female,72017,City B
640,26,Male,86033,City B
641,65,Female,25558,City A
642,68,Male,26026,City A
643,68,Male,91784,City A
644,58,Male,125273,City B
645,64,Female,85191,City A
646,52,Female,97235,City A
647,65,Female,36427,City C
648,28,Male,80677,City B
649,64,Female,30221,City A
650,20,Male,124319,City B
651,48,Male,50622,City A
652,29,Male,137109,City B
653,61,Male,103795,City A
654,19,Male,42616,City C
655,29,Female,74198,City C
656,52,Female,122117,City A
657,32,Male,79865,City C
658,54,Male,117673,City B
659,19,Female,65131,City C
660,27,Male,56420,City C
661,46,Male,35375,City C
662,34,Female,75327,City B
663,61,Male,30604,City C
664,42,Female,50031,City B
665,28,Male,53803,City B
666,32,Male,104718,City B
667,34,Female,26397,City B
668,60,Male,70970,City B
669,54,Male,130861,City B
670,44,Female,48401,City B
671,36,Female,48156,City C
672,19,Female,92437,City C
673,36,Male,53042,City A
674,38,Female,102566,City A
675,31,Male,74015,City C
676,35,Male,97598,City C
677,68,Male,80764,City A
678,37,Female,51585,City B
679,45,Female,44556,City B
680,66,Male,37885,City C
681,68,Female,118601,City A
682,20,Male,86859,City C
683,65,Male,30390,City B
684,22,Male,104880,City A
685,31,Male,27567,City A
686,44,Male,26525,City C
687,61,Male,122771,City B
688,29,Female,127740,City B
689,35,Female,138067,City B
690,58,Male,131090,City A
691,40,Female,124397,City C
692,45,Female,67167,City B
693,25,Female,72447,City B
694,63,Female,106266,City A
695,54,Female,112662,City C
696,68,Female,147800,City C
697,67,Male,67078,City C
698,31,Male,88637,City C
699,45,Male,102632,City B
700,64,Female,126095,City B
701,26,Male,65929,City B
702,58,Male,135196,City A
703,40,Male,120662,City C
704,22,Male,53669,City B
705,27,Female,106125,City B
706,52,Male,107597,City C
707,36,Female,78391,City B
708,28,Male,62320,City B
709,47,Female,24351,City B
710,36,Male,100715,City A
711,62,Male,84545,City A
712,56,Female,59450,City C
713,39,Female,48873,City A
714,27,Female,37044,City A
715,63,Male,111876,City A
716,43,Male,85278,City A
717,33,Male,68126,City B
718,51,Male,22485,City B
719,55,Male,115218,City A
720,58,Female,106463,City C
721,54,Male,21770,City B
722,35,Female,32740,City B
723,31,Male,126793,City A
724,31,Female,74067,City B
725,42,Female,144170,City C
726,31,Male,37606,City B
727,63,Male,87846,City B
728,64,Male,78145,City A
729,53,Male,103076,City C
730,25,Female,78902,City C
731,61,Male,30748,City B
732,36,Female,56434,City A
733,21,Female,66505,City A
734,65,Female,133431,City C
735,34,Male,34949,City A
736,22,Male,47309,City A
737,67,Female,138077,City A
738,20,Female,64687,City A
739,59,Female,138496,City A
740,48,Male,36919,City C
741,61,Male,60063,City A
742,49,Male,68754,City C
743,33,Male,23408,City C
744,24,Male,72388,City B
745,20,Male,40913,City B
746,22,Female,123468,City C
747,24,Male,69557,City C
748,58,Male,69892,City B
749,43,Male,135271,City C
750,61,Male,107316,City C
751,37,Male,61466,City C
752,54,Male,85218,City B
753,21,Female,33003,City C
754,38,Female,20502,City C
755,40,Male,38779,City B
756,54,Female,48373,City B
757,36,Male,29272,City C
758,47,Female,80659,City C
759,52,Female,34897,City C
760,36,Male,120354,City A
761,32,Male,69258,City C
762,51,Male,86110,City B
763,34,Female,123779,City C
764,50,Male,143238,City B
765,18,Female,68651,City C
