Product SKU,Production Schedule_ID,Lead Time (days),Production Capacities (units per hour),Resource Allocation
21,1,4,1,Resource A
48,2,10,4,Resource A
47,3,7,36,Resource B
35,4,17,42,Resource C
3,5,11,29,Resource C
36,6,6,30,Resource C
18,7,6,14,Resource A
53,8,14,20,Resource C
20,9,18,40,Resource A
9,10,7,47,Resource B
76,11,1,8,Resource C
73,12,5,24,Resource C
18,13,4,32,Resource A
44,14,13,15,Resource C
48,15,17,19,Resource B
10,16,7,31,Resource A
19,17,2,28,Resource B
71,18,15,5,Resource C
98,19,13,44,Resource B
74,20,15,12,Resource A
21,21,1,42,Resource C
74,22,3,17,Resource A
49,23,16,15,Resource B
75,24,13,22,Resource A
88,25,10,36,Resource B
24,26,17,16,Resource A
52,27,13,35,Resource A
17,28,18,43,Resource B
11,29,1,43,Resource A
44,30,14,31,Resource B
22,31,13,39,Resource A
67,32,4,39,Resource A
37,33,1,14,Resource A
75,34,19,1,Resource A
17,35,4,13,Resource C
26,36,14,10,Resource A
16,37,14,8,Resource C
63,38,19,3,Resource A
60,39,19,48,Resource B
91,40,19,14,Resource C
14,41,14,12,Resource B
95,42,6,39,Resource C
40,43,1,22,Resource A
18,44,4,38,Resource B
92,45,11,30,Resource C
36,46,13,9,Resource B
18,47,15,27,Resource C
56,48,9,4,Resource A
10,49,15,16,Resource C
79,50,13,5,Resource B
91,51,16,12,Resource B
17,52,4,23,Resource B
49,53,11,31,Resource C
55,54,19,16,Resource A
83,55,16,12,Resource B
24,56,5,33,Resource B
83,57,9,7,Resource C
67,58,13,27,Resource C
53,59,7,42,Resource B
11,60,1,28,Resource B
66,61,1,32,Resource B
98,62,1,11,Resource A
99,63,16,23,Resource C
70,64,17,39,Resource C
13,65,9,36,Resource B
78,66,13,20,Resource B
57,67,1,1,Resource B
44,68,15,23,Resource C
6,69,4,43,Resource C
92,70,9,48,Resource A
87,71,8,20,Resource B
43,72,13,8,Resource C
14,73,11,21,Resource A
15,74,2,8,Resource C
97,75,1,1,Resource B
91,76,6,12,Resource B
18,77,13,12,Resource C
55,78,8,28,Resource C
49,79,11,45,Resource A
52,80,3,28,Resource C
73,81,9,9,Resource B
77,82,15,23,Resource B
46,83,4,12,Resource C
96,84,10,45,Resource B
39,85,18,28,Resource B
84,86,1,32,Resource A
8,87,2,8,Resource A
84,88,8,18,Resource C
80,89,5,39,Resource C
34,90,4,11,Resource A
64,91,12,4,Resource B
58,92,6,23,Resource B
91,93,2,33,Resource A
62,94,10,25,Resource B
97,95,15,32,Resource B
33,96,18,47,Resource B
58,97,13,10,Resource A
15,98,12,19,Resource A
41,99,19,40,Resource C
28,100,4,10,Resource A
40,101,7,15,Resource A
68,102,9,24,Resource C
25,103,5,9,Resource B
58,104,13,30,Resource A
95,105,7,45,Resource A
59,106,11,35,Resource C
26,107,13,15,Resource B
41,108,13,46,Resource C
18,109,8,5,Resource B
27,110,12,26,Resource C
62,111,18,43,Resource A
83,112,18,46,Resource A
65,113,9,5,Resource C
40,114,6,35,Resource B
16,115,18,32,Resource A
31,116,10,8,Resource C
70,117,5,43,Resource A
58,118,8,26,Resource C
29,119,16,35,Resource B
74,120,3,47,Resource A
84,121,14,15,Resource C
69,122,1,12,Resource A
24,123,14,38,Resource C
54,124,4,18,Resource C
82,125,13,22,Resource B
33,126,19,25,Resource A
27,127,2,3,Resource B
72,128,7,37,Resource C
27,129,9,9,Resource B
92,130,11,24,Resource A
92,131,9,18,Resource B
56,132,12,26,Resource A
65,133,1,3,Resource A
19,134,14,8,Resource B
78,135,19,39,Resource C
70,136,2,14,Resource C
83,137,14,35,Resource C
10,138,19,32,Resource C
3,139,14,17,Resource B
3,140,18,47,Resource A
71,141,10,43,Resource B
51,142,17,26,Resource B
31,143,12,5,Resource C
53,144,5,47,Resource B
6,145,19,13,Resource B
94,146,8,32,Resource C
51,147,4,12,Resource A
76,148,11,31,Resource B
75,149,2,32,Resource C
34,150,5,1,Resource C
67,151,3,23,Resource C
94,152,6,13,Resource A
65,153,3,23,Resource A
2,154,4,14,Resource C
44,155,6,22,Resource B
81,156,19,31,Resource C
29,157,6,39,Resource A
48,158,8,19,Resource C
99,159,14,7,Resource C
31,160,12,27,Resource A
15,161,3,6,Resource C
86,162,3,15,Resource C
72,163,8,14,Resource A
1,164,5,8,Resource A
98,165,12,19,Resource C
95,166,9,47,Resource C
93,167,5,37,Resource A
60,168,10,18,Resource B
33,169,3,19,Resource B
63,170,10,8,Resource C
69,171,11,32,Resource C
72,172,6,16,Resource B
87,173,14,31,Resource B
10,174,13,36,Resource B
19,175,18,15,Resource A
29,176,14,47,Resource B
51,177,6,7,Resource C
39,178,10,21,Resource C
49,179,16,16,Resource A
20,180,8,21,Resource A
99,181,13,21,Resource C
40,182,10,32,Resource A
86,183,17,21,Resource C
43,184,1,24,Resource C
5,185,1,9,Resource C
3,186,10,45,Resource C
8,187,1,4,Resource A
92,188,3,41,Resource C
14,189,7,4,Resource B
39,190,17,17,Resource A
78,191,3,7,Resource A
88,192,3,24,Resource A
26,193,4,48,Resource C
13,194,9,13,Resource C
98,195,6,5,Resource A
95,196,3,35,Resource B
38,197,1,17,Resource C
32,198,13,1,Resource B
96,199,18,30,Resource B
89,200,14,45,Resource C
44,201,17,22,Resource B
45,202,3,8,Resource A
39,203,14,38,Resource B
8,204,3,42,Resource A
83,205,7,45,Resource B
4,206,7,45,Resource B
46,207,15,46,Resource C
89,208,11,26,Resource A
97,209,3,34,Resource C
96,210,4,10,Resource A
40,211,7,42,Resource A
61,212,8,23,Resource C
4,213,10,14,Resource C
44,214,5,23,Resource C
89,215,14,18,Resource C
15,216,18,18,Resource C
21,217,15,9,Resource A
14,218,18,32,Resource B
48,219,3,17,Resource A
37,220,16,48,Resource C
76,221,15,22,Resource C
59,222,7,34,Resource B
18,223,5,31,Resource A
5,224,2,19,Resource A
89,225,19,19,Resource A
60,226,13,15,Resource A
83,227,4,41,Resource C
7,228,4,37,Resource B
14,229,8,18,Resource A
56,230,13,5,Resource A
45,231,3,8,Resource C
73,232,12,4,Resource C
64,233,9,35,Resource A
47,234,7,34,Resource B
59,235,2,38,Resource A
63,236,5,17,Resource C
75,237,14,20,Resource C
17,238,8,34,Resource C
55,239,17,43,Resource B
44,240,9,26,Resource B
48,241,18,36,Resource A
84,242,15,20,Resource A
80,243,3,49,Resource B
27,244,17,25,Resource B
26,245,16,28,Resource B
73,246,12,14,Resource A
62,247,7,11,Resource B
74,248,19,42,Resource C
71,249,4,26,Resource C
38,250,13,46,Resource A
39,251,6,33,Resource B
99,252,15,1,Resource C
61,253,16,47,Resource C
70,254,18,7,Resource C
20,255,14,4,Resource B
49,256,15,45,Resource B
52,257,5,43,Resource B
7,258,4,20,Resource B
68,259,7,34,Resource B
99,260,16,32,Resource B
8,261,16,32,Resource B
84,262,11,43,Resource B
29,263,10,20,Resource C
72,264,8,27,Resource B
93,265,19,39,Resource A
90,266,3,6,Resource B
21,267,5,7,Resource A
38,268,3,49,Resource C
56,269,6,26,Resource B
10,270,10,46,Resource A
76,271,14,4,Resource C
5,272,13,49,Resource B
27,273,10,27,Resource A
32,274,5,16,Resource C
40,275,18,29,Resource C
76,276,8,30,Resource A
39,277,16,16,Resource C
43,278,5,9,Resource A
57,279,18,42,Resource C
78,280,15,43,Resource C
29,281,14,11,Resource A
75,282,5,4,Resource B
80,283,4,31,Resource C
17,284,16,33,Resource B
58,285,9,49,Resource C
45,286,16,47,Resource C
6,287,4,3,Resource B
47,288,1,33,Resource C
88,289,2,48,Resource B
55,290,13,22,Resource C
79,291,7,2,Resource A
16,292,6,3,Resource A
34,293,9,19,Resource A
36,294,7,14,Resource B
84,295,16,19,Resource A
45,296,7,38,Resource A
28,297,1,39,Resource A
15,298,2,47,Resource C
65,299,11,14,Resource B
70,300,11,12,Resource B
17,301,15,5,Resource C
68,302,10,5,Resource A
99,303,18,16,Resource B
96,304,11,4,Resource C
11,305,9,45,Resource A
84,306,19,43,Resource B
83,307,6,18,Resource B
15,308,9,10,Resource A
41,309,9,3,Resource B
14,310,14,37,Resource B
81,311,3,2,Resource B
9,312,3,45,Resource B
64,313,4,12,Resource B
51,314,8,10,Resource A
7,315,6,46,Resource B
86,316,2,5,Resource B
61,317,18,8,Resource A
50,318,6,38,Resource A
14,319,4,26,Resource C
41,320,19,27,Resource C
96,321,8,27,Resource B
88,322,9,3,Resource C
66,323,19,14,Resource B
68,324,14,25,Resource A
49,325,15,17,Resource C
21,326,13,12,Resource C
53,327,19,7,Resource B
86,328,16,20,Resource C
96,329,17,4,Resource C
18,330,10,46,Resource A
45,331,11,27,Resource A
60,332,16,1,Resource C
28,333,15,47,Resource A
17,334,12,14,Resource B
18,335,6,9,Resource C
25,336,12,11,Resource A
51,337,13,26,Resource A
43,338,9,9,Resource B
89,339,7,41,Resource A
74,340,3,21,Resource A
37,341,2,27,Resource A
67,342,9,16,Resource A
7,343,9,7,Resource C
94,344,15,30,Resource B
31,345,17,38,Resource A
18,346,4,44,Resource B
2,347,14,45,Resource B
11,348,4,7,Resource B
71,349,13,3,Resource A
58,350,10,4,Resource B
91,351,9,16,Resource C
8,352,17,33,Resource A
78,353,8,20,Resource B
97,354,1,20,Resource B
75,355,7,32,Resource C
37,356,18,20,Resource B
80,357,6,33,Resource B
62,358,7,15,Resource B
50,359,4,33,Resource A
25,360,1,34,Resource A
36,361,18,27,Resource C
40,362,5,42,Resource B
51,363,14,43,Resource B
72,364,16,44,Resource C
67,365,18,5,Resource B
46,366,19,42,Resource B
66,367,19,22,Resource A
87,368,5,18,Resource B
23,369,15,21,Resource A
77,370,7,47,Resource B
79,371,16,1,Resource C
5,372,11,44,Resource A
71,373,14,31,Resource B
55,374,11,35,Resource A
90,375,5,33,Resource B
43,376,6,46,Resource A
67,377,17,8,Resource C
26,378,9,35,Resource A
18,379,15,32,Resource C
47,380,19,42,Resource A
76,381,5,42,Resource A
36,382,2,42,Resource B
41,383,16,34,Resource A
93,384,15,19,Resource B
66,385,18,39,Resource A
30,386,7,8,Resource B
50,387,12,39,Resource A
21,388,14,10,Resource C
57,389,5,4,Resource A
67,390,7,44,Resource C
97,391,17,14,Resource B
47,392,19,23,Resource A
92,393,1,1,Resource B
86,394,11,46,Resource C
10,395,12,23,Resource A
87,396,12,8,Resource C
89,397,1,8,Resource A
19,398,17,27,Resource C
90,399,10,34,Resource B
45,400,9,18,Resource B
44,401,12,49,Resource C
7,402,19,13,Resource C
78,403,2,38,Resource C
44,404,11,24,Resource B
9,405,1,27,Resource B
60,406,8,43,Resource C
89,407,10,46,Resource A
99,408,7,28,Resource A
40,409,4,33,Resource C
38,410,10,16,Resource C
41,411,2,2,Resource C
57,412,3,10,Resource A
17,413,12,21,Resource B
33,414,19,3,Resource C
59,415,5,44,Resource C
48,416,4,8,Resource C
63,417,5,29,Resource A
24,418,15,47,Resource A
71,419,2,33,Resource B
27,420,19,12,Resource C
89,421,6,7,Resource C
80,422,11,46,Resource B
78,423,10,39,Resource B
83,424,14,17,Resource B
54,425,13,2,Resource A
61,426,8,37,Resource C
28,427,13,11,Resource A
31,428,1,26,Resource A
53,429,19,19,Resource B
87,430,1,41,Resource C
66,431,18,13,Resource C
72,432,8,6,Resource C
17,433,8,6,Resource B
19,434,15,18,Resource A
40,435,10,5,Resource B
53,436,13,40,Resource C
76,437,3,15,Resource B
93,438,8,13,Resource B
85,439,10,46,Resource A
28,440,4,21,Resource C
44,441,13,6,Resource C
84,442,1,32,Resource C
16,443,8,38,Resource A
4,444,12,21,Resource A
10,445,17,32,Resource C
55,446,7,8,Resource A
64,447,12,41,Resource C
40,448,12,6,Resource A
7,449,15,35,Resource C
63,450,19,15,Resource C
75,451,16,13,Resource B
10,452,4,4,Resource A
46,453,15,40,Resource C
54,454,2,46,Resource A
44,455,15,32,Resource C
76,456,11,40,Resource B
84,457,7,9,Resource C
94,458,1,14,Resource A
93,459,12,37,Resource A
49,460,16,43,Resource B
19,461,17,39,Resource C
24,462,15,48,Resource A
93,463,11,29,Resource C
64,464,2,34,Resource B
85,465,19,41,Resource C
9,466,3,41,Resource B
98,467,7,9,Resource B
54,468,18,46,Resource B
85,469,16,27,Resource B
7,470,2,44,Resource C
36,471,9,42,Resource C
76,472,2,29,Resource B
1,473,4,18,Resource B
88,474,2,33,Resource A
56,475,15,38,Resource B
84,476,19,45,Resource A
26,477,14,11,Resource A
33,478,6,24,Resource A
46,479,11,26,Resource B
93,480,11,11,Resource B
55,481,18,17,Resource B
83,482,17,36,Resource C
9,483,3,9,Resource C
8,484,18,33,Resource C
97,485,17,45,Resource A
41,486,1,30,Resource A
4,487,11,6,Resource C
77,488,3,33,Resource B
90,489,8,28,Resource C
19,490,6,26,Resource C
39,491,2,48,Resource C
11,492,3,23,Resource B
30,493,5,5,Resource B
12,494,16,41,Resource A
6,495,10,12,Resource A
64,496,6,28,Resource C
65,497,1,11,Resource A
52,498,8,6,Resource C
68,499,6,13,Resource A
32,500,4,33,Resource C
64,501,3,38,Resource C
29,502,11,9,Resource A
79,503,6,17,Resource A
73,504,11,21,Resource C
91,505,17,27,Resource A
26,506,2,15,Resource A
81,507,12,13,Resource B
85,508,18,38,Resource A
51,509,10,34,Resource C
47,510,8,12,Resource A
47,511,8,11,Resource C
11,512,4,16,Resource C
27,513,2,48,Resource A
7,514,3,6,Resource B
79,515,5,49,Resource C
66,516,14,24,Resource B
72,517,19,19,Resource B
15,518,15,20,Resource C
69,519,12,3,Resource C
98,520,2,1,Resource B
89,521,9,18,Resource C
1,522,5,18,Resource C
9,523,15,6,Resource B
85,524,7,1,Resource C
39,525,6,33,Resource B
32,526,4,25,Resource A
78,527,19,1,Resource A
86,528,3,15,Resource A
87,529,4,42,Resource C
2,530,3,45,Resource B
4,531,11,18,Resource C
26,532,11,26,Resource C
42,533,8,48,Resource A
89,534,15,46,Resource C
41,535,4,46,Resource C
95,536,15,2,Resource B
60,537,6,23,Resource A
88,538,2,20,Resource B
43,539,7,31,Resource B
16,540,9,40,Resource B
51,541,8,17,Resource A
54,542,7,25,Resource B
36,543,1,4,Resource C
42,544,17,35,Resource B
42,545,1,7,Resource A
76,546,4,1,Resource B
59,547,10,1,Resource A
68,548,14,25,Resource B
86,549,4,23,Resource C
47,550,9,32,Resource B
58,551,14,5,Resource A
68,552,11,40,Resource C
30,553,15,6,Resource A
98,554,11,29,Resource C
24,555,10,44,Resource B
42,556,10,20,Resource B
29,557,4,22,Resource B
17,558,4,24,Resource C
45,559,5,11,Resource A
48,560,9,39,Resource A
36,561,9,48,Resource B
3,562,11,48,Resource C
47,563,10,49,Resource B
77,564,13,26,Resource C
43,565,7,28,Resource C
10,566,1,23,Resource C
85,567,17,40,Resource B
55,568,7,14,Resource B
25,569,2,29,Resource A
80,570,8,27,Resource C
57,571,8,6,Resource A
81,572,10,25,Resource A
85,573,1,17,Resource A
99,574,17,4,Resource B
38,575,12,14,Resource B
23,576,6,15,Resource C
8,577,14,16,Resource C
23,578,18,1,Resource C
89,579,1,39,Resource B
83,580,3,26,Resource C
67,581,14,9,Resource C
49,582,8,10,Resource A
15,583,12,38,Resource A
41,584,13,10,Resource B
95,585,9,37,Resource B
69,586,7,49,Resource B
44,587,17,40,Resource C
77,588,1,48,Resource A
99,589,10,6,Resource A
76,590,16,28,Resource B
63,591,3,29,Resource C
5,592,3,19,Resource C
16,593,11,36,Resource A
72,594,6,17,Resource A
21,595,13,27,Resource C
97,596,10,46,Resource A
23,597,5,6,Resource C
52,598,5,35,Resource A
29,599,13,3,Resource A
11,600,19,1,Resource A
46,601,14,35,Resource C
69,602,17,26,Resource A
70,603,5,21,Resource B
10,604,13,7,Resource B
52,605,15,32,Resource B
76,606,8,29,Resource A
74,607,9,35,Resource B
83,608,11,4,Resource A
91,609,4,5,Resource B
8,610,2,5,Resource B
2,611,6,34,Resource C
51,612,8,25,Resource B
58,613,15,29,Resource A
86,614,4,15,Resource A
10,615,1,30,Resource B
74,616,10,12,Resource B
14,617,4,12,Resource A
14,618,15,15,Resource B
93,619,17,42,Resource A
44,620,5,35,Resource A
77,621,10,20,Resource B
81,622,15,49,Resource A
74,623,15,15,Resource B
42,624,7,40,Resource A
42,625,6,40,Resource A
72,626,3,32,Resource A
17,627,6,2,Resource B
48,628,11,10,Resource A
63,629,4,25,Resource C
28,630,12,31,Resource C
57,631,2,18,Resource B
47,632,6,44,Resource C
47,633,11,26,Resource A
43,634,12,7,Resource C
32,635,5,19,Resource A
68,636,15,28,Resource A
65,637,13,34,Resource A
69,638,14,4,Resource A
38,639,13,31,Resource C
16,640,9,37,Resource C
84,641,5,12,Resource A
10,642,1,7,Resource C
88,643,11,45,Resource C
32,644,5,13,Resource B
38,645,18,17,Resource B
42,646,5,45,Resource C
75,647,8,8,Resource B
26,648,7,12,Resource B
81,649,9,14,Resource A
56,650,18,12,Resource A
64,651,6,16,Resource B
69,652,3,39,Resource A
55,653,6,1,Resource C
65,654,15,24,Resource B
94,655,6,20,Resource A
96,656,16,20,Resource A
29,657,5,32,Resource C
9,658,19,7,Resource A
55,659,9,32,Resource B
7,660,18,29,Resource C
67,661,5,36,Resource B
38,662,11,6,Resource C
45,663,18,21,Resource C
14,664,7,41,Resource A
42,665,11,40,Resource A
71,666,5,44,Resource C
32,667,7,35,Resource B
99,668,5,6,Resource A
76,669,2,7,Resource C
28,670,17,1,Resource B
41,671,11,7,Resource A
54,672,2,24,Resource C
40,673,5,22,Resource B
31,674,11,40,Resource A
61,675,6,19,Resource A
6,676,16,34,Resource C
5,677,8,4,Resource A
80,678,5,21,Resource C
98,679,12,47,Resource A
10,680,8,23,Resource B
50,681,17,4,Resource A
48,682,10,21,Resource B
48,683,4,6,Resource C
98,684,18,15,Resource B
48,685,14,48,Resource A
3,686,11,12,Resource A
23,687,17,8,Resource C
94,688,2,4,Resource A
90,689,8,21,Resource B
76,690,13,12,Resource C
37,691,10,11,Resource A
67,692,11,48,Resource B
86,693,19,18,Resource A
34,694,14,18,Resource C
34,695,12,41,Resource A
72,696,16,35,Resource C
85,697,18,26,Resource A
63,698,6,19,Resource A
42,699,13,28,Resource C
50,700,14,18,Resource C
39,701,5,27,Resource B
80,702,15,42,Resource A
10,703,1,25,Resource A
4,704,5,32,Resource B
32,705,7,10,Resource B
84,706,7,11,Resource A
31,707,19,6,Resource A
81,708,18,38,Resource C
58,709,8,8,Resource C
53,710,5,2,Resource C
46,711,16,45,Resource B
45,712,8,3,Resource A
86,713,8,21,Resource B
87,714,4,27,Resource A
71,715,10,13,Resource A
51,716,1,30,Resource C
15,717,5,26,Resource C
70,718,8,16,Resource A
23,719,13,39,Resource B
74,720,13,1,Resource C
29,721,10,23,Resource B
52,722,1,27,Resource A
15,723,10,16,Resource B
33,724,18,20,Resource B
53,725,13,3,Resource B
28,726,10,19,Resource A
23,727,11,24,Resource C
36,728,12,6,Resource A
4,729,16,36,Resource C
22,730,16,25,Resource A
36,731,8,45,Resource B
31,732,16,44,Resource A
1,733,19,32,Resource A
40,734,6,46,Resource A
42,735,18,26,Resource A
29,736,16,14,Resource B
75,737,12,49,Resource A
42,738,2,27,Resource C
50,739,12,40,Resource C
52,740,19,27,Resource B
98,741,3,32,Resource C
84,742,5,48,Resource C
97,743,11,31,Resource C
35,744,11,34,Resource C
39,745,14,13,Resource C
53,746,17,46,Resource C
75,747,8,28,Resource A
36,748,15,30,Resource B
13,749,11,14,Resource A
87,750,17,39,Resource B
67,751,13,46,Resource C
95,752,13,28,Resource A
88,753,9,10,Resource C
17,754,14,35,Resource A
33,755,14,49,Resource B
89,756,4,44,Resource B
6,757,16,44,Resource A
58,758,8,28,Resource A
60,759,7,31,Resource A
52,760,19,5,Resource B
